predicted_for,predicted_aqi,category
2026-09-26 12:00:00,69.28,Moderate
2026-09-26 13:00:00,63.01,Moderate
2026-09-26 14:00:00,68.26,Moderate
2026-09-26 15:00:00,63.23,Moderate
2026-09-26 16:00:00,67.91,Moderate
2026-09-26 17:00:00,63.16,Moderate
2026-09-26 18:00:00,68.34,Moderate
2026-09-26 19:00:00,63.15,Moderate
2026-09-26 20:00:00,68.22,Moderate
2026-09-26 21:00:00,63.15,Moderate
2026-09-26 22:00:00,68.21,Moderate
2026-09-26 23:00:00,63.15,Moderate
2026-09-27 00:00:00,68.27,Moderate
2026-09-27 01:00:00,63.01,Moderate
2026-09-27 02:00:00,68.22,Moderate
2026-09-27 03:00:00,62.98,Moderate
2026-09-27 04:00:00,68.22,Moderate
2026-09-27 05:00:00,62.98,Moderate
2026-09-27 06:00:00,68.22,Moderate
2026-09-27 07:00:00,63.02,Moderate
2026-09-27 08:00:00,68.21,Moderate
2026-09-27 09:00:00,63.03,Moderate
2026-09-27 10:00:00,68.21,Moderate
2026-09-27 11:00:00,63.07,Moderate
2026-09-27 12:00:00,68.34,Moderate
2026-09-27 13:00:00,63.15,Moderate
2026-09-27 14:00:00,68.32,Moderate
2026-09-27 15:00:00,63.18,Moderate
2026-09-27 16:00:00,68.35,Moderate
2026-09-27 17:00:00,63.17,Moderate
2026-09-27 18:00:00,68.35,Moderate
2026-09-27 19:00:00,63.17,Moderate
2026-09-27 20:00:00,68.34,Moderate
2026-09-27 21:00:00,63.17,Moderate
2026-09-27 22:00:00,68.34,Moderate
2026-09-27 23:00:00,63.17,Moderate
2026-09-28 00:00:00,68.36,Moderate
2026-09-28 01:00:00,63.02,Moderate
2026-09-28 02:00:00,68.46,Moderate
2026-09-28 03:00:00,63.02,Moderate
2026-09-28 04:00:00,68.46,Moderate
2026-09-28 05:00:00,63.02,Moderate
2026-09-28 06:00:00,68.46,Moderate
2026-09-28 07:00:00,63.09,Moderate
2026-09-28 08:00:00,68.46,Moderate
2026-09-28 09:00:00,63.09,Moderate
2026-09-28 10:00:00,68.46,Moderate
2026-09-28 11:00:00,63.12,Moderate
2026-09-28 12:00:00,68.45,Moderate
2026-09-28 13:00:00,63.15,Moderate
2026-09-28 14:00:00,68.45,Moderate
2026-09-28 15:00:00,63.16,Moderate
2026-09-28 16:00:00,68.48,Moderate
2026-09-28 17:00:00,63.16,Moderate
2026-09-28 18:00:00,68.48,Moderate
2026-09-28 19:00:00,63.15,Moderate
2026-09-28 20:00:00,68.48,Moderate
2026-09-28 21:00:00,63.15,Moderate
2026-09-28 22:00:00,68.47,Moderate
2026-09-28 23:00:00,63.15,Moderate
2026-09-29 00:00:00,68.5,Moderate
2026-09-29 01:00:00,63.02,Moderate
2026-09-29 02:00:00,68.9,Moderate
2026-09-29 03:00:00,63.03,Moderate
2026-09-29 04:00:00,68.91,Moderate
2026-09-29 05:00:00,63.05,Moderate
2026-09-29 06:00:00,68.91,Moderate
2026-09-29 07:00:00,63.12,Moderate
2026-09-29 08:00:00,68.91,Moderate
2026-09-29 09:00:00,63.12,Moderate
2026-09-29 10:00:00,68.91,Moderate
2026-09-29 11:00:00,63.14,Moderate
