predicted_for,predicted_aqi,category
2026-09-23 05:00:00,71.56,Moderate
2026-09-23 06:00:00,94.13,Moderate
2026-09-23 07:00:00,73.16,Moderate
2026-09-23 08:00:00,94.31,Moderate
2026-09-23 09:00:00,73.63,Moderate
2026-09-23 10:00:00,94.56,Moderate
2026-09-23 11:00:00,74.63,Moderate
2026-09-23 12:00:00,94.54,Moderate
2026-09-23 13:00:00,75.22,Moderate
2026-09-23 14:00:00,94.31,Moderate
2026-09-23 15:00:00,75.18,Moderate
2026-09-23 16:00:00,94.05,Moderate
2026-09-23 17:00:00,75.05,Moderate
2026-09-23 18:00:00,93.73,Moderate
2026-09-23 19:00:00,75.05,Moderate
2026-09-23 20:00:00,93.5,Moderate
2026-09-23 21:00:00,75.04,Moderate
2026-09-23 22:00:00,93.5,Moderate
2026-09-23 23:00:00,75.03,Moderate
2026-09-24 00:00:00,93.51,Moderate
2026-09-24 01:00:00,75.13,Moderate
2026-09-24 02:00:00,93.78,Moderate
2026-09-24 03:00:00,75.13,Moderate
2026-09-24 04:00:00,93.77,Moderate
2026-09-24 05:00:00,75.04,Moderate
2026-09-24 06:00:00,93.77,Moderate
2026-09-24 07:00:00,75.04,Moderate
2026-09-24 08:00:00,93.53,Moderate
2026-09-24 09:00:00,75.05,Moderate
2026-09-24 10:00:00,93.5,Moderate
2026-09-24 11:00:00,75.05,Moderate
2026-09-24 12:00:00,92.26,Moderate
2026-09-24 13:00:00,74.85,Moderate
2026-09-24 14:00:00,91.95,Moderate
2026-09-24 15:00:00,74.85,Moderate
2026-09-24 16:00:00,91.96,Moderate
2026-09-24 17:00:00,74.85,Moderate
2026-09-24 18:00:00,91.93,Moderate
2026-09-24 19:00:00,75.02,Moderate
2026-09-24 20:00:00,91.99,Moderate
2026-09-24 21:00:00,75.02,Moderate
2026-09-24 22:00:00,91.99,Moderate
2026-09-24 23:00:00,75.02,Moderate
2026-09-25 00:00:00,91.99,Moderate
2026-09-25 01:00:00,75.03,Moderate
2026-09-25 02:00:00,92.04,Moderate
2026-09-25 03:00:00,75.03,Moderate
2026-09-25 04:00:00,92.04,Moderate
2026-09-25 05:00:00,75.03,Moderate
2026-09-25 06:00:00,92.04,Moderate
2026-09-25 07:00:00,75.03,Moderate
2026-09-25 08:00:00,91.97,Moderate
2026-09-25 09:00:00,75.04,Moderate
2026-09-25 10:00:00,92.04,Moderate
2026-09-25 11:00:00,75.05,Moderate
2026-09-25 12:00:00,92.04,Moderate
2026-09-25 13:00:00,75.05,Moderate
2026-09-25 14:00:00,92.04,Moderate
2026-09-25 15:00:00,75.05,Moderate
2026-09-25 16:00:00,92.04,Moderate
2026-09-25 17:00:00,75.05,Moderate
2026-09-25 18:00:00,91.94,Moderate
2026-09-25 19:00:00,75.03,Moderate
2026-09-25 20:00:00,91.93,Moderate
2026-09-25 21:00:00,75.03,Moderate
2026-09-25 22:00:00,91.93,Moderate
2026-09-25 23:00:00,75.03,Moderate
2026-09-26 00:00:00,91.93,Moderate
2026-09-26 01:00:00,75.05,Moderate
2026-09-26 02:00:00,92.02,Moderate
2026-09-26 03:00:00,75.05,Moderate
2026-09-26 04:00:00,92.02,Moderate
